icao,site,observed_utc,observed_local,flight_category,temp_c,dewpoint_c,wind_dir_deg,wind_kts,gust_kts,vis_sm,altimeter_hpa,raw_text,fetched_at_utc,fetched_at_local,site_name,site_lat,site_lon,country,region
CBBC,"Bella Bella Arpt, BC, CA",2025-10-03T17:45:00Z,2025-10-03 10:45:00,MVFR,12,12,VAR,2,0,5,1019.7,SPECI CBBC 031745Z AUTO VRB02KT 5SM RA BR FEW006 BKN011 OVC016 12/12 A3011 RMK PCPN 1.8MM PAST HR SLP199,2025-10-03T18:03:32Z,2025-10-03T14:03:32Z,Bella Bella (Campbell Island) Airport,52.185001,-128.156994,CA,CA-BC
CBBC,"Bella Bella Arpt, BC, CA",2025-10-03T18:19:00Z,2025-10-03 11:19:00,MVFR,13,12,VAR,2,0,9,1019.7,SPECI CBBC 031819Z AUTO VRB02KT 9SM -RA BKN014 BKN019 OVC055 13/12 A3011 RMK SLP200,2025-10-03T18:21:03Z,2025-10-03T14:21:03Z,Bella Bella (Campbell Island) Airport,52.185001,-128.156994,CA,CA-BC
CWJC,"Ennadai Lake, NU, CA",2025-10-03T17:00:00Z,2025-10-03 17:00:00,NA,8.6,5.1,VAR,NA,0,NA,NA,METAR CWJC 031700Z AUTO 09/05 RMK AO1 18 8023 SLP079 T00860051,2025-10-03T18:04:51Z,2025-10-03T14:04:51Z,Ennadai Lake Airport,61.1333333333,-100.9,CA,CA-NU
CWJC,"Ennadai Lake, NU, CA",2025-10-03T18:00:00Z,2025-10-03 18:00:00,NA,10.6,5.4,VAR,NA,0,NA,NA,METAR CWJC 031800Z AUTO 11/05 RMK AO1 22 8027 SLP066 T01060054,2025-10-03T18:21:19Z,2025-10-03T14:21:19Z,Ennadai Lake Airport,61.1333333333,-100.9,CA,CA-NU
CYAH,"La Grande IV Arpt, QC, CA",2025-10-03T17:49:00Z,2025-10-03 13:49:00,MVFR,10,6,310,5,0,9,1011.3,SPECI CYAH 031749Z AUTO 31005KT 280V340 9SM SCT020 BKN029 OVC035 10/06 A2986 RMK SLP125,2025-10-03T18:04:51Z,2025-10-03T14:04:51Z,La Grande-4 Airport,53.754699707,-73.6753005981,CA,CA-QC
CYAH,"La Grande IV Arpt, QC, CA",2025-10-03T18:19:00Z,2025-10-03 14:19:00,MVFR,10,6,300,8,15,9,1011.6,SPECI CYAH 031819Z AUTO 30008G15KT 270V340 9SM BKN022 OVC027 10/06 A2987 RMK SLP128,2025-10-03T18:21:19Z,2025-10-03T14:21:19Z,La Grande-4 Airport,53.754699707,-73.6753005981,CA,CA-QC
CYAM,"Sault Ste Marie Arpt, ON, CA",2025-10-03T17:00:00Z,2025-10-03 13:00:00,VFR,20,15,80,3,0,20,1020.4,METAR CYAM 031700Z 08003KT 040V140 20SM FEW064 SCT100 BKN150 BKN250 20/15 A3013 RMK CU1AC3AC3CI1 CU TR CI TR SLP209 DENSITY ALT 1200FT,2025-10-03T18:04:51Z,2025-10-03T14:04:51Z,Sault Ste Marie Airport,46.483216,-84.508467,CA,CA-ON
CYAM,"Sault Ste Marie Arpt, ON, CA",2025-10-03T18:00:00Z,2025-10-03 14:00:00,VFR,23,17,VAR,4,0,20,1020.1,METAR CYAM 031800Z VRB04KT 20SM FEW061 FEW086 SCT120 SCT250 23/17 A3012 RMK CU1AC1AC2CI1 CU TR CI TR SLP203 DENSITY ALT 1500FT,2025-10-03T18:21:19Z,2025-10-03T14:21:19Z,Sault Ste Marie Airport,46.483216,-84.508467,CA,CA-ON
CYAS,"Kangirsuk Arpt, QC, CA",2025-10-03T17:57:00Z,2025-10-03 13:57:00,VFR,6,1,290,27,34,13,997.4,SPECI CYAS 031757Z 29027G34KT 13SM -RA BKN031 06/01 A2945 RMK SC7 SLP983,2025-10-03T18:04:51Z,2025-10-03T14:04:51Z,Kangirsuk Airport,60.027199,-69.999199,CA,CA-QC
CYAS,"Kangirsuk Arpt, QC, CA",2025-10-03T18:00:00Z,2025-10-03 14:00:00,VFR,5,1,290,24,34,13,997.7,METAR CYAS 031800Z 29024G34KT 13SM -RA BKN031 05/01 A2946 RMK SC7 SLP985,2025-10-03T18:21:19Z,2025-10-03T14:21:19Z,Kangirsuk Airport,60.027199,-69.999199,CA,CA-QC
CYAT,"Attawapisket Arpt, ON, CA",2025-10-03T17:00:00Z,2025-10-03 13:00:00,MVFR,10,8,350,5,0,9,1018.7,METAR CYAT 031700Z AUTO 35005KT 9SM OVC021 10/08 A3008 RMK SLP189,2025-10-03T18:04:51Z,2025-10-03T14:04:51Z,Attawapiskat Airport,52.927502,-82.4319,CA,CA-ON
